id,sku,namespace,key,description,permission_set,value
528,F01451,,,,,
527,F01440,,,,,
526,F01438,,,,,
525,F01436,,,,,
524,F01436.,,,,,
523,F01316,,,,,
522,F01315,,,,,
521,F01357,,,,,
520,F01356_,,,,,
519,F01355,,,,,
518,F01133,,,,,
517,F01132,,,,,
516,F01131,,,,,
515,F01356_1209140719153055,,,,,
509,F01387,,,,,
508,VBK0575,,,,,
506,F01169_040105171611071510,,,,,
501,F01521,,,,,
500,F01520,,,,,
497,F00762,,,,,
495,F01169,,,,,
494,F01125-1,,,,,
478,LookinEvoRelaxed,,,,,
477,LookinEvoModerate,,,,,
476,F00781_0503221210,,,,,
475,F01155_040111101608,,,,,
474,F01145_1205020835,,,,,
473,F01122_06031101120917,,,,,
472,F01165_0501101639,,,,,
471,F01164_0444101709,,,,,
470,F01146,,,,,
469,F01145,,,,,
468,F01144,,,,,
467,F01202,,,,,
466,F01203,,,,,
465,F01287,,,,,
464,F01286,,,,,
463,F01285,,,,,
462,F01117,,,,,
461,F01116,,,,,
460,F01118,,,,,
459,F01282,,,,,
458,F01281,,,,,
457,F01280,,,,,
456,F01108,,,,,
455,F01171,,,,,
454,F01170,,,,,
453,F00932_0204241714061910,,,,,
452,F01270_1005010708,,,,,
451,F01276_0301071108,,,,,
450,F01178_09040107140543,,,,,
449,F01265_1004020708,,,,,
448,F01225_450204061015,,,,,
445,F01277,,,,,
444,F01276,,,,,
430,VBK0342,,,,,
414,F01235_150104191306182109,,,,,
413,F01386_110504420844,,,,,
412,F00731_040206,,,,,
411,F01466,,,,,
410,F01214_040106100708,,,,,
409,F01219_03010629071008,,,,,
408,F01208_040106280710,,,,,
407,F00998_0302051008,,,,,
406,F00994_04020709,,,,,
405,F00705_040106,,,,,
404,F01186_1104030817120743,,,,,
403,F01111_04010807,,,,,
402,F01104_04020908,,,,,
401,F01104_050209141308,,,,,
400,F01104_040209141308,,,,,
399,F01104_0602091408,,,,,
398,F00818_0501181106,,,,,
397,F00743_06021209,,,,,
396,F00709_1004030814,,,,,
395,F01164_,,,,,
394,F00765_0704011018,,,,,
393,F01162_16060142111308,,,,,
392,F00719_060314211809,,,,,
391,F00719_0601142108,,,,,
390,F00712_0905030813,,,,,
389,F00712_0904030813,,,,,
388,F00711_1005030814,,,,,
387,F00711_1004010814,,,,,
386,F00711_1004020814,,,,,
385,F00709_1205010814,,,,,
384,F00709_1004010814,,,,,
383,F00709_1005010814,,,,,
382,F00711_1005020814,,,,,
381,F01188,,,,,
380,F01190,,,,,
379,F01189,,,,,
378,F01187,,,,,
377,F01186,,,,,
376,F01185,,,,,
375,F01184,,,,,
374,F01183,,,,,
373,F01236,,,,,
372,F00932,,,,,
371,F00931,,,,,
370,F00925,,,,,
369,F00923,,,,,
368,F00922,,,,,
362,F00752,,,,,
361,F00751,,,,,
360,F00750,,,,,
359,F00749,,,,,
358,F00748,,,,,
357,F01247,,,,,
356,F01243,,,,,
355,F01242,,,,,
354,F01200,,,,,
351,"Load4 75 Rohloff HS",,,,,
350,"Load4 75 Rohloff",,,,,
349,"Load4 60 Rohloff HS",,,,,
348,"Load4 60 Rohloff",,,,,
346,F01175,,,,,
345,F01182,,,,,
342,F01181,,,,,
340,F01180,,,,,
339,F01179,,,,,
336,F01178,,,,,
334,F01177,,,,,
332,F01176,,,,,
331,F01215,,,,,
330,F01221,,,,,
329,F01210,,,,,
328,F01147,,,,,
325,F01137,,,,,
324,F01135,,,,,
323,F01134,,,,,
320,F01130,,,,,
319,F01168,,,,,
318,F01167,,,,,
317,F01107,,,,,
316,F01106,,,,,
315,F01125,,,,,
314,F01124,,,,,
313,F01123,,,,,
312,F01122,,,,,
311,F01121,,,,,
310,F01155,,,,,
309,F01154,,,,,
308,F01153,,,,,
307,F1152,,,,,
306,F01151,,,,,
305,F01201,,,,,
304,F01150,,,,,
302,F01136,,,,,
300,F01120,,,,,
299,F01272,,,,,
297,F01271,,,,,
295,F01275,,,,,
294,F01270,,,,,
289,F00941,,,,,
288,F00940,,,,,
287,F00938,,,,,
286,F00937,,,,,
285,F00707,,,,,
284,F00705,,,,,
283,F00703,,,,,
282,F00701,,,,,
281,F00999,,,,,
280,F00998,,,,,
279,F00997,,,,,
278,F00995,,,,,
277,F00994,,,,,
276,F00993,,,,,
275,F01214,,,,,
274,F01220,,,,,
273,F01219,,,,,
272,F01209,,,,,
271,F01208,,,,,
270,F01141,,,,,
262,F00768,,,,,
261,F00767,,,,,
260,F00766,,,,,
259,F00764,,,,,
258,F00765,,,,,
257,F00709_1007010814,,,,,
247,F00823,,,,,
245,F00821,,,,,
244,F00819,,,,,
243,F00820,,,,,
242,F00818,,,,,
241,F00817,,,,,
240,F00732,,,,,
226,F01105,,,,,
225,F01103,,,,,
224,F01104,,,,,
223,F01102,,,,,
222,F01002,,,,,
221,F00746,,,,,
220,F00744,,,,,
219,F00742,,,,,
218,F00745,,,,,
217,F00743,,,,,
216,F01165,,,,,
215,F01163,,,,,
214,F01166,,,,,
213,F01164,,,,,
212,F01161,,,,,
211,F00722,,,,,
210,F00721,,,,,
209,F00723,,,,,
208,F00720,,,,,
207,F00719,,,,,
206,F00718,,,,,
204,F00716,,,,,
203,F00715,,,,,
202,F00714,,,,,
201,F00712,,,,,
200,F00711,,,,,
199,F00710,,,,,
198,F00730,,,,,
197,F00729,,,,,
195,F00728,,,,,
194,F00727,,,,,
193,F00726,,,,,
189,F00704,,,,,
188,F00700,,,,,
187,F00939,,,,,
186,F01260,,,,,
185,F00709,,,,,
184,F01240,,,,,
183,F00947,,,,,
175,F00741,,,,,
173,F00996,,,,,
172,F00992,,,,,
171,F01218,,,,,
170,F01213,,,,,
169,F01207,,,,,
168,F01140,,,,,
166,F00747,,,,,
164,F00920,,,,,
160,F00929,,,,,
153,F00717,,,,,
149,F00713,,,,,
144,F01162,,,,,
142,F01160,,,,,
136,F00763,,,,,
134,F00822,,,,,
128,F00816,,,,,
122,F00725,,,,,
119,F00731,,,,,
114,F01001,,,,,
