id,name,key,description,namespace,permission_set,value,status,error,mode
,F01200,feature-1-card,,shared,write_and_sf_access,"<!-- Product feature card container -->
<div class=""product-feature-card"" style=""display: flex; align-items: flex-start; gap: 2rem; margin: 2rem 0;"">
    <!-- Text content -->
    <div class=""feature-content"" style=""flex: 1; min-width: 0;"">
        <h2>Built for families. Better for the planet.</h2>
        
        <h3>The Packster2 70 simplifies everyday life — and it’s made from eco-friendly materials throughout.</h3>
        
        <p><br></p>
    </div>
    
    <!-- Image -->
    <div class=""feature-image"" style=""flex: 0 0 300px; max-width: 300px;"">
        <figure style=""margin: 0;"">
            <img src=""https://store-c8jhcan2jv.mybigcommerce.com/product_images/product_modules/Riese%20%26%20Muller/Packster/Packster2/feature/Packster_Packster2_feature_built-for-families-better-for-the-planet.jpg"" alt=""Built for families. Better for the planet."" style=""width: 100%; height: auto; max-width: 300px; border-radius: 8px;"" data-proportion=""true"" data-align=""none"" data-index=""0"" data-file-name=""Packster_Packster2_feature_built-for-families-better-for-the-planet.jpg"" data-file-size=""0"" data-origin="","" data-size="","" data-rotate="""" data-rotatex="""" data-rotatey="""" data-percentage=""auto,auto"">
        </figure>
    </div>
</div>
    ",,,replace
,F01200,feature-2-card,,shared,write_and_sf_access,"<!-- Product feature card container -->
<div class=""product-feature-card"" style=""display: flex; align-items: flex-start; gap: 2rem; margin: 2rem 0;"">
    <!-- Text content -->
    <div class=""feature-content"" style=""flex: 1; min-width: 0;"">
        <h2>Connected e-bike.</h2>
        
        
        
        <p>RX Connect takes your riding experience to a new level. You can completely secure your bike with the standard, integrated RX Chip and the RX Service to go along with it. Activate ConnectRide Free for one year free of charge: the RX Connect app shows the location of your bike, offers a digital motion alarm and automatically records rides with extensive riding statistics.</p>
    </div>
    
    <!-- Image -->
    <div class=""feature-image"" style=""flex: 0 0 300px; max-width: 300px;"">
        <figure style=""margin: 0;"">
            <img src=""https://store-c8jhcan2jv.mybigcommerce.com/product_images/product_modules/Riese%20%26%20Muller/Packster/Packster2/feature/Packster_Packster2_feature_connected-e-bike.jpg"" alt=""Connected e-bike."" style=""width: 100%; height: auto; max-width: 300px; border-radius: 8px;"" data-proportion=""true"" data-align=""none"" data-index=""0"" data-file-name=""Packster_Packster2_feature_connected-e-bike.jpg"" data-file-size=""0"" data-origin="","" data-size="","" data-rotate="""" data-rotatex="""" data-rotatey="""" data-percentage=""auto,auto"">
        </figure>
    </div>
</div>
    ",,,replace
,F01200,feature-3-card,,shared,write_and_sf_access,"<!-- Product feature card container -->
<div class=""product-feature-card"" style=""display: flex; align-items: flex-start; gap: 2rem; margin: 2rem 0;"">
    <!-- Text content -->
    <div class=""feature-content"" style=""flex: 1; min-width: 0;"">
        <h2>Effortless to ride. Easy to live with.</h2>
        
        
        
        <p>The Packster2 70 handles like a pro — smooth to steer, simple to park, and easy to hop on and off. Its cable steering lets you glide through tight spots, even fully loaded. Need more space? The rear carrier adds room for up to 27 kg of extra cargo.</p>
    </div>
    
    <!-- Image -->
    <div class=""feature-image"" style=""flex: 0 0 300px; max-width: 300px;"">
        <figure style=""margin: 0;"">
            <img src=""https://store-c8jhcan2jv.mybigcommerce.com/product_images/product_modules/Riese%20%26%20Muller/Packster/Packster2/feature/Packster_Packster2_feature_effortless-to-ride-easy-to-live-with.jpg"" alt=""Effortless to ride. Easy to live with."" style=""width: 100%; height: auto; max-width: 300px; border-radius: 8px;"" data-proportion=""true"" data-align=""none"" data-index=""0"" data-file-name=""Packster_Packster2_feature_effortless-to-ride-easy-to-live-with.jpg"" data-file-size=""0"" data-origin="","" data-size="","" data-rotate="""" data-rotatex="""" data-rotatey="""" data-percentage=""auto,auto"">
        </figure>
    </div>
</div>
    ",,,replace
,F01200,feature-4-card,,shared,write_and_sf_access,"<!-- Product feature card container -->
<div class=""product-feature-card"" style=""display: flex; align-items: flex-start; gap: 2rem; margin: 2rem 0;"">
    <!-- Text content -->
    <div class=""feature-content"" style=""flex: 1; min-width: 0;"">
        <h2>Equipped for the future.</h2>
        
        <h3>Smart, safe, and sustainable.</h3>
        
        <p>The EPP transport box is fully recyclable and made with zero emissions. Optional child seats include five-point belts and side-impact protection for peace of mind. Add the buggy kit for easy access with half-height side walls — all within a tough frame that supports the weather cover and shields your passengers.</p>
    </div>
    
    <!-- Image -->
    <div class=""feature-image"" style=""flex: 0 0 300px; max-width: 300px;"">
        <figure style=""margin: 0;"">
            <img src=""https://store-c8jhcan2jv.mybigcommerce.com/product_images/product_modules/Riese%20%26%20Muller/Packster/Packster2/feature/Packster_Packster2_feature_equipped-for-the-future.jpg"" alt=""Equipped for the future."" style=""width: 100%; height: auto; max-width: 300px; border-radius: 8px;"" data-proportion=""true"" data-align=""none"" data-index=""0"" data-file-name=""Packster_Packster2_feature_equipped-for-the-future.jpg"" data-file-size=""0"" data-origin="","" data-size="","" data-rotate="""" data-rotatex="""" data-rotatey="""" data-percentage=""auto,auto"">
        </figure>
    </div>
</div>
    ",,,replace
,F01200,feature-5-card,,shared,write_and_sf_access,"<!-- Product feature card container -->
<div class=""product-feature-card"" style=""display: flex; align-items: flex-start; gap: 2rem; margin: 2rem 0;"">
    <!-- Text content -->
    <div class=""feature-content"" style=""flex: 1; min-width: 0;"">
        <h2>See clearly. Stay in control.</h2>
        
        
        
        <p>A powerful headlight with daytime running light and well-placed reflectors keeps you visible at all times. The optional Bosch ABS and Magura disc brakes add extra stopping power and control — preventing skids and slips, even in sudden stops.</p>
    </div>
    
    <!-- Image -->
    <div class=""feature-image"" style=""flex: 0 0 300px; max-width: 300px;"">
        <figure style=""margin: 0;"">
            <img src=""https://store-c8jhcan2jv.mybigcommerce.com/product_images/product_modules/Riese%20%26%20Muller/Packster/Packster2/feature/Packster_Packster2_feature_see-clearly-stay-in-control.jpg"" alt=""See clearly. Stay in control."" style=""width: 100%; height: auto; max-width: 300px; border-radius: 8px;"" data-proportion=""true"" data-align=""none"" data-index=""0"" data-file-name=""Packster_Packster2_feature_see-clearly-stay-in-control.jpg"" data-file-size=""0"" data-origin="","" data-size="","" data-rotate="""" data-rotatex="""" data-rotatey="""" data-percentage=""auto,auto"">
        </figure>
    </div>
</div>
    ",,,replace
,F01200,option-1-card,,shared,write_and_sf_access,"
<div class=""swiper-slide"">
    <div class=""se-component se-image-container __se__float- __se__float-none"">
        <figure>
          <img src=""https://store-c8jhcan2jv.mybigcommerce.com/product_images/product_modules/Riese%20%26%20Muller/Packster/Packster2/product-options/Packster_Packster2_product-options_additional-chain-lock-with-vaude-bag-extra-security-neatly-packed.jpg"" alt=""Additional Chain Lock with Vaude Bag – Extra security, neatly packed."" data-proportion=""true"" data-align=""none"" data-index=""0"" data-file-name=""Packster_Packster2_product-options_additional-chain-lock-with-vaude-bag-extra-security-neatly-packed.jpg"" data-file-size=""0"" data-origin="","" data-size="","" data-rotate="""" data-rotatex="""" data-rotatey="""" style="""" width="""" height="""" data-percentage=""auto,auto"">
        </figure>
    </div>
    
    <div class=""card"">
    <div class=""card-info"">
    <div class=""card-title"">Additional Chain Lock with Vaude Bag – Extra security, neatly packed.</div>
    
    <div class=""card-description"">The 130 cm Abus chain lock pairs with the frame lock for added protection — tough 6 mm links that secure your bike to fixed objects or lock multiple bikes together. One key fits the frame, chain, and battery locks. The lock stows in a Vaude saddle bag made from 100% recycled polyester, with a roll-top design for quick, easy access.

Note: May limit saddle height on smaller frames.</div>
    
    <div class=""card-price"">£47.00</div>
    <button class=""more-info-btn"">More Information</button></div>
    </div>
    </div>",,,replace
,F01200,option-2-card,,shared,write_and_sf_access,"
<div class=""swiper-slide"">
    <div class=""se-component se-image-container __se__float- __se__float-none"">
        <figure>
          <img src=""https://store-c8jhcan2jv.mybigcommerce.com/product_images/product_modules/Riese%20%26%20Muller/Packster/Packster2/product-options/Packster_Packster2_product-options_bosch-ebike-abs-20-control-when-it-counts.jpg"" alt=""Bosch eBike ABS 2.0 – Control when it counts."" data-proportion=""true"" data-align=""none"" data-index=""0"" data-file-name=""Packster_Packster2_product-options_bosch-ebike-abs-20-control-when-it-counts.jpg"" data-file-size=""0"" data-origin="","" data-size="","" data-rotate="""" data-rotatex="""" data-rotatey="""" style="""" width="""" height="""" data-percentage=""auto,auto"">
        </figure>
    </div>
    
    <div class=""card"">
    <div class=""card-info"">
    <div class=""card-title"">Bosch eBike ABS 2.0 – Control when it counts.</div>
    
    <div class=""card-description"">Stay firmly in the saddle, even under hard braking. On asphalt or gravel, ABS 2.0 prevents skids, rear wheel lift, and sideways slips — for safer, more confident stops in any situation.</div>
    
    <div class=""card-price"">£466.00</div>
    <button class=""more-info-btn"">More Information</button></div>
    </div>
    </div>",,,replace
,F01200,option-3-card,,shared,write_and_sf_access,"
<div class=""swiper-slide"">
    <div class=""se-component se-image-container __se__float- __se__float-none"">
        <figure>
          <img src=""https://store-c8jhcan2jv.mybigcommerce.com/product_images/product_modules/Riese%20%26%20Muller/Packster/Packster2/product-options/Packster_Packster2_product-options_comfort-kit-sit-back-and-relax.jpg"" alt=""Comfort Kit – Sit back and relax."" data-proportion=""true"" data-align=""none"" data-index=""0"" data-file-name=""Packster_Packster2_product-options_comfort-kit-sit-back-and-relax.jpg"" data-file-size=""0"" data-origin="","" data-size="","" data-rotate="""" data-rotatex="""" data-rotatey="""" style="""" width="""" height="""" data-percentage=""auto,auto"">
        </figure>
    </div>
    
    <div class=""card"">
    <div class=""card-info"">
    <div class=""card-title"">Comfort Kit – Sit back and relax.</div>
    
    <div class=""card-description"">With swept-back handlebars and a wide saddle, the Comfort Kit lets you ride in a relaxed, upright position — perfect for cruising in comfort.</div>
    
    
    <button class=""more-info-btn"">More Information</button></div>
    </div>
    </div>",,,replace
,F01200,option-4-card,,shared,write_and_sf_access,"
<div class=""swiper-slide"">
    <div class=""se-component se-image-container __se__float- __se__float-none"">
        <figure>
          <img src=""https://store-c8jhcan2jv.mybigcommerce.com/product_images/product_modules/Riese%20%26%20Muller/Packster/Packster2/product-options/Packster_Packster2_product-options_dualbattery-1500-go-further-climb-higher.jpg"" alt=""DualBattery 1500 – Go further. Climb higher."" data-proportion=""true"" data-align=""none"" data-index=""0"" data-file-name=""Packster_Packster2_product-options_dualbattery-1500-go-further-climb-higher.jpg"" data-file-size=""0"" data-origin="","" data-size="","" data-rotate="""" data-rotatex="""" data-rotatey="""" style="""" width="""" height="""" data-percentage=""auto,auto"">
        </figure>
    </div>
    
    <div class=""card"">
    <div class=""card-info"">
    <div class=""card-title"">DualBattery 1500 – Go further. Climb higher.</div>
    
    <div class=""card-description"">With a massive 1,500 Wh of power, Riese & Müller’s DualBattery tech delivers double the range, fewer charging stops, and the freedom to take on bigger adventures — or just forget about range altogether in daily life.</div>
    
    <div class=""card-price"">£1212.00</div>
    <button class=""more-info-btn"">More Information</button></div>
    </div>
    </div>",,,replace
,F01200,option-5-card,,shared,write_and_sf_access,"
<div class=""swiper-slide"">
    <div class=""se-component se-image-container __se__float- __se__float-none"">
        <figure>
          <img src=""https://store-c8jhcan2jv.mybigcommerce.com/product_images/product_modules/Riese%20%26%20Muller/Packster/Packster2/product-options/Packster_Packster2_product-options_kiox-300-smart-sporty-connected.jpg"" alt=""Kiox 300 – Smart, sporty, connected."" data-proportion=""true"" data-align=""none"" data-index=""0"" data-file-name=""Packster_Packster2_product-options_kiox-300-smart-sporty-connected.jpg"" data-file-size=""0"" data-origin="","" data-size="","" data-rotate="""" data-rotatex="""" data-rotatey="""" style="""" width="""" height="""" data-percentage=""auto,auto"">
        </figure>
    </div>
    
    <div class=""card"">
    <div class=""card-info"">
    <div class=""card-title"">Kiox 300 – Smart, sporty, connected.</div>
    
    <div class=""card-description"">Track fitness, pair with heart rate monitors via Bluetooth, and navigate without maps when linked to your phone. The Kiox 300 puts training insights and ride control right at your fingertips — all operated through the intuitive LED Remote.</div>
    
    <div class=""card-price"">£47.00</div>
    <button class=""more-info-btn"">More Information</button></div>
    </div>
    </div>",,,replace
