id,name,key,description,namespace,permission_set,value,status,error,mode
1,F01201,cargo-options-1-card,,shared,write_and_sf_access,"Shields children from wind, rain, snow, and sun. The height adjusts with the handlebar, and the partial opening and built-in sunshade offer airflow and comfort on warmer days.",active,,append
2,F01201,cargo-options-1-card,,shared,write_and_sf_access,"This lockable cover shields up to 240 L of cargo from the elements. Made from folding polypropylene, it opens easily for quick loading and unloading.",active,,append
3,F01201,cargo-options-1-card,,shared,write_and_sf_access,"Made from durable EPP, the high, lockable cover protects up to 375 L of cargo. The low loading height keeps access quick and easy.",active,,append
4,F01201,cargo-options-1-card,,shared,write_and_sf_access,"The durable tarpaulin keeps cargo clean and dry in any weather. It can be half or fully rolled back, letting children ride comfortably while staying protected.",active,,append
5,F01201,cargo-options-1-card,,shared,write_and_sf_access,"The Buggy option makes family transport easy and secure. Half-height side walls and a step let kids climb in and out with ease, while the sturdy aluminium frame and polypropylene roof offer extra protection — even in a collision. The water-repellent cover avoids PVC and includes tinted windows, roll-up sides, and a rear panel to shield against wind and rain.

Max load: 70 kg. Please check local laws before transporting children by bike.",active,,append
6,F01201,cargo-options-1-card,,shared,write_and_sf_access,"Modular polypropylene elements let you customise the space to suit your load. Configure up to three compartments, use the flat surface, or secure Euro boxes with built-in holders and side pockets. Four eyelets allow for extra straps when carrying taller cargo.",active,,append
7,F01201,cargo-options-1-card,,shared,write_and_sf_access,"Double Child Seat with Front Luggage Shelf – Flexible for family and cargo.
Seats two children up to age seven with five-point belts and recycled headrests. The seat folds up for extra space. The front shelf holds a crate-sized load when down, or acts as a table with foot space when up. The 47 L food-safe box fits neatly on the rack or in a shopping trolley.

<sub>Check local regulations before transporting children</sub>",active,,append
8,F01201,cargo-options-1-card,,shared,write_and_sf_access,"Comfortably seats two children up to age seven, with adjustable sitting and sleeping positions. Five-point harnesses keep them secure, and the headrest — made from 100% recycled material — folds flat when not in use. Need more space? Just fold up the seat to carry larger loads.

Check local regulations before transporting children by bike.",active,,append
9,F01201,cargo-options-1-card,,shared,write_and_sf_access,"The glove compartment lock means small items are safely stowed away. The lock uses the same key as the battery lock and Abus frame lock and replaces the standard magnetic closure.",active,,append
10,F01201,cargo-options-1-card,,shared,write_and_sf_access,"Carry up to three children (age seven or younger) with secure five-point belts and recycled headrests. The third seat folds down for cargo space, or all seats can be folded to free up even more room.

<sub>Check local regulations before transporting children by bike.</sub>",active,,append
11,F01201,feature-1-card,,shared,write_and_sf_access,"<br>",active,,append
